S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,03-01-2019,ODI # 4074
1,New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,04-01-2019,ODI # 4075
2,New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,05-01-2019,ODI # 4076
3,Australia,India,Australia,34 runs,Sydney,06-01-2019,ODI # 4077
4,Australia,India,India,6 wickets,Adelaide,07-01-2019,ODI # 4078
5,Australia,India,India,7 wickets,Melbourne,08-01-2019,ODI # 4079
6,South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,09-01-2019,ODI # 4080
7,South Africa,Pakistan,South Africa,5 wickets,Durban,10-01-2019,ODI # 4081
8,New Zealand,India,India,8 wickets,Napier,11-01-2019,ODI # 4082
9,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,12-01-2019,ODI # 4083
10,South Africa,Pakistan,South Africa,13 runs,Centurion,13-01-2019,ODI # 4084
11,New Zealand,India,India,90 runs,Mount Maunganui,14-01-2019,ODI # 4085
12,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,15-01-2019,ODI # 4086
13,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,16-01-2019,ODI # 4087
14,New Zealand,India,India,7 wickets,Mount Maunganui,17-01-2019,ODI # 4088
15,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,18-01-2019,ODI # 4089
16,South Africa,Pakistan,South Africa,7 wickets,Cape Town,19-01-2019,ODI # 4090
17,New Zealand,India,New Zealand,8 wickets,Hamilton,20-01-2019,ODI # 4091
18,New Zealand,India,India,35 runs,Wellington,21-01-2019,ODI # 4092
19,New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-02-2019,ODI # 4093
20,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-02-2019,ODI # 4094
21,New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-02-2019,ODI # 4095
22,West Indies,England,England,6 wickets,Bridgetown,20-02-2019,ODI # 4096
23,West Indies,England,West Indies,26 runs,Bridgetown,22-02-2019,ODI # 4097
24,West Indies,England,no result,-,St George's,25-02-2019,ODI # 4098
25,West Indies,England,England,29 runs,St George's,27-02-2019,ODI # 4099
26,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,28-02-2019,ODI # 4100
27,Afghanistan,Ireland,no result,-,Dehradun,02-03-2019,ODI # 4101
28,India,Australia,India,6 wickets,Hyderabad,02-03-2019,ODI # 4102
29,West Indies,England,West Indies,7 wickets,Gros Islet,02-03-2019,ODI # 4103
30,South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,03-03-2019,ODI # 4104
31,Afghanistan,Ireland,Ireland,4 wickets,Dehradun,05-03-2019,ODI # 4105
32,India,Australia,India,8 runs,Nagpur,05-03-2019,ODI # 4106
33,South Africa,Sri Lanka,South Africa,113 runs,Centurion,06-03-2019,ODI # 4107
34,Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,08-03-2019,ODI # 4108
35,India,Australia,Australia,32 runs,Ranchi,08-03-2019,ODI # 4109
36,Afghanistan,Ireland,Ireland,5 wickets,Dehradun,10-03-2019,ODI # 4110
37,India,Australia,Australia,4 wickets,Mohali,10-03-2019,ODI # 4111
38,South Africa,Sri Lanka,South Africa,71 runs,Durban,10-03-2019,ODI # 4112
39,India,Australia,Australia,35 runs,Delhi,13-03-2019,ODI # 4113
40,South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha,13-03-2019,ODI # 4114
41,South Africa,Sri Lanka,South Africa,41 runs,Cape Town,16-03-2019,ODI # 4115
42,Australia,Pakistan,Australia,8 wickets,Sharjah,22-03-2019,ODI # 4116
43,Australia,Pakistan,Australia,8 wickets,Sharjah,24-03-2019,ODI # 4117
44,Australia,Pakistan,Australia,80 runs,Abu Dhabi,27-03-2019,ODI # 4118
45,Australia,Pakistan,Australia,6 runs,Dubai (DSC),29-03-2019,ODI # 4119
46,Australia,Pakistan,Australia,20 runs,Dubai (DSC),31-03-2019,ODI # 4120
47,Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,01-04-2019,ODI # 4121
48,Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,02-04-2019,ODI # 4122
49,Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,03-04-2019,ODI # 4123
50,Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,04-04-2019,ODI # 4124
51,Namibia,Oman,Namibia,145 runs,Windhoek,05-04-2019,ODI # 4125
52,P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,06-04-2019,ODI # 4126
53,Ireland,England,England,4 wickets,Dublin (Malahide),07-04-2019,ODI # 4127
54,Ireland,West Indies,West Indies,196 runs,Dublin,08-04-2019,ODI # 4128
55,Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,09-04-2019,ODI # 4129
56,England,Pakistan,no result,-,The Oval,10-04-2019,ODI # 4130
57,Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,10-05-2019,ODI # 4131
58,Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),11-05-2019,ODI # 4132
59,England,Pakistan,England,12 runs,Southampton,11-05-2019,ODI # 4133
60,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),13-05-2019,ODI # 4134
61,England,Pakistan,England,6 wickets,Bristol,14-05-2019,ODI # 4135
62,Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,15-05-2019,ODI # 4136
63,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),17-05-2019,ODI # 4137
64,England,Pakistan,England,3 wickets,Nottingham,17-05-2019,ODI # 4138
65,Ireland,Afghanistan,Ireland,72 runs,Belfast,19-05-2019,ODI # 4139
66,England,Pakistan,England,54 runs,Leeds,19-05-2019,ODI # 4140
67,Ireland,Afghanistan,Afghanistan,126 runs,Belfast,21-05-2019,ODI # 4141
68,Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,21-05-2019,ODI # 4142
69,England,South Africa,England,104 runs,The Oval,30-05-2019,ODI # 4143
70,Pakistan,West Indies,West Indies,7 wickets,Nottingham,31-05-2019,ODI # 4144
71,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,01-06-2019,ODI # 4145
72,Afghanistan,Australia,Australia,7 wickets,Bristol,01-06-2019,ODI # 4146
73,Bangladesh,South Africa,Bangladesh,21 runs,The Oval,02-06-2019,ODI # 4147
74,England,Pakistan,Pakistan,14 runs,Nottingham,03-06-2019,ODI # 4148
75,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,04-06-2019,ODI # 4149
76,India,South Africa,India,6 wickets,Southampton,05-06-2019,ODI # 4150
77,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,05-06-2019,ODI # 4151
78,Australia,West Indies,Australia,15 runs,Nottingham,06-06-2019,ODI # 4152
79,England,Bangladesh,England,106 runs,Cardiff,08-06-2019,ODI # 4153
80,Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,08-06-2019,ODI # 4154
81,Australia,India,India,36 runs,The Oval,09-06-2019,ODI # 4155
82,South Africa,West Indies,no result,-,Southampton,10-06-2019,ODI # 4156
83,Australia,Pakistan,Australia,41 runs,Taunton,12-06-2019,ODI # 4157
84,England,West Indies,England,8 wickets,Southampton,14-06-2019,ODI # 4158
85,Australia,Sri Lanka,Australia,87 runs,The Oval,15-06-2019,ODI # 4159
86,Afghanistan,South Africa,South Africa,9 wickets,Cardiff,15-06-2019,ODI # 4160
87,India,Pakistan,India,89 runs,Manchester,16-06-2019,ODI # 4161
88,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,17-06-2019,ODI # 4162
89,England,Afghanistan,England,150 runs,Manchester,18-06-2019,ODI # 4163
90,Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer,19-06-2019,ODI # 4164
91,New Zealand,South Africa,New Zealand,4 wickets,Birmingham,19-06-2019,ODI # 4165
92,Australia,Bangladesh,Australia,48 runs,Nottingham,20-06-2019,ODI # 4166
93,Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer,21-06-2019,ODI # 4167
94,England,Sri Lanka,Sri Lanka,20 runs,Leeds,21-06-2019,ODI # 4168
95,Afghanistan,India,India,11 runs,Southampton,22-06-2019,ODI # 4169
96,New Zealand,West Indies,New Zealand,5 runs,Manchester,22-06-2019,ODI # 4170
97,Pakistan,South Africa,Pakistan,49 runs,Lord's,23-06-2019,ODI # 4171
98,Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,24-06-2019,ODI # 4172
99,England,Australia,Australia,64 runs,Lord's,25-06-2019,ODI # 4173
100,New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,26-06-2019,ODI # 4174
101,India,West Indies,India,125 runs,Manchester,27-06-2019,ODI # 4175
102,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,28-06-2019,ODI # 4176
103,Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,29-06-2019,ODI # 4177
104,Australia,New Zealand,Australia,86 runs,Lord's,29-06-2019,ODI # 4178
105,England,India,England,31 runs,Birmingham,30-06-2019,ODI # 4179
106,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,01-07-2019,ODI # 4180
107,Ireland,Zimbabwe,Ireland,4 wickets,Bready,01-07-2019,ODI # 4181
108,Bangladesh,India,India,28 runs,Birmingham,02-07-2019,ODI # 4182
109,England,New Zealand,England,119 runs,Chester-le-Street,03-07-2019,ODI # 4183
110,Afghanistan,West Indies,West Indies,23 runs,Leeds,04-07-2019,ODI # 4184
111,Ireland,Zimbabwe,Ireland,5 runs,Belfast,04-07-2019,ODI # 4185
112,Bangladesh,Pakistan,Pakistan,94 runs,Lord's,05-07-2019,ODI # 4186
113,India,Sri Lanka,India,7 wickets,Leeds,06-07-2019,ODI # 4187
114,Australia,South Africa,South Africa,10 runs,Manchester,06-07-2019,ODI # 4188
115,Ireland,Zimbabwe,Ireland,6 wickets,Belfast,07-07-2019,ODI # 4189
116,India,New Zealand,New Zealand,18 runs,Manchester,09-07-2019,ODI # 4190
117,England,Australia,England,8 wickets,Birmingham,11-07-2019,ODI # 4191
118,England,New Zealand,tied,-,Lord's,14-07-2019,ODI # 4192
119,Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),26-07-2019,ODI # 4193
120,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),28-07-2019,ODI # 4194
121,Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),31-07-2019,ODI # 4195
122,West Indies,India,no result,-,Providence,08-08-2019,ODI # 4196
123,West Indies,India,India,59 runs,Port of Spain,11-08-2019,ODI # 4197
124,Oman,P.N.G.,Oman,4 wickets,Aberdeen,14-08-2019,ODI # 4198
125,West Indies,India,India,6 wickets,Port of Spain,14-08-2019,ODI # 4199
126,Scotland,Oman,Oman,8 wickets,Aberdeen,15-08-2019,ODI # 4200
127,Scotland,P.N.G.,Scotland,3 wickets,Aberdeen,17-08-2019,ODI # 4201
128,Scotland,Oman,Scotland,85 runs,Aberdeen,18-08-2019,ODI # 4202
129,Scotland,P.N.G.,Scotland,38 runs,Aberdeen,20-08-2019,ODI # 4203
130,Oman,P.N.G.,Oman,4 wickets,Aberdeen,21-08-2019,ODI # 4204
131,U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill,13-09-2019,ODI # 4205
132,U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill,17-09-2019,ODI # 4206
133,U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill,19-09-2019,ODI # 4207
134,U.S.A.,Namibia,Namibia,139 runs,Lauderhill,20-09-2019,ODI # 4208
135,Namibia,P.N.G.,Namibia,4 wickets,Lauderhill,22-09-2019,ODI # 4209
136,Namibia,P.N.G.,Namibia,27 runs,Lauderhill,23-09-2019,ODI # 4210
137,Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,30-09-2019,ODI # 4211
138,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,02-10-2019,ODI # 4212
139,Afghanistan,West Indies,West Indies,7 wickets,Lucknow,06-11-2019,ODI # 4213
140,Afghanistan,West Indies,West Indies,47 runs,Lucknow,09-11-2019,ODI # 4214
141,Afghanistan,West Indies,West Indies,5 wickets,Lucknow,11-11-2019,ODI # 4215
142,U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah,08-12-2019,ODI # 4216
143,Scotland,U.S.A.,U.S.A.,35 runs,Sharjah,09-12-2019,ODI # 4217
144,U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai,12-12-2019,ODI # 4218
145,Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai,14-12-2019,ODI # 4219
146,U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai,15-12-2019,ODI # 4220
147,India,West Indies,West Indies,8 wickets,Chennai,15-12-2019,ODI # 4221
148,India,West Indies,India,107 runs,Visakhapatnam,18-12-2019,ODI # 4222
149,India,West Indies,India,4 wickets,Cuttack,22-12-2019,ODI # 4223
150,Oman,U.A.E.,Oman,5 wickets,Al Amerat,05-01-2020,ODI # 4224
151,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,06-01-2020,ODI # 4225
152,West Indies,Ireland,West Indies,5 wickets,Bridgetown,07-01-2020,ODI # 4226
153,Oman,Namibia,Namibia,52 runs,Al Amerat,08-01-2020,ODI # 4227
154,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,09-01-2020,ODI # 4228
155,West Indies,Ireland,West Indies,1 wicket,Bridgetown,09-01-2020,ODI # 4229
156,West Indies,Ireland,West Indies,5 wickets,St George's,12-01-2020,ODI # 4230
157,India,Australia,Australia,10 wickets,Wankhede,14-01-2020,ODI # 4231
158,India,Australia,India,36 runs,Rajkot,17-01-2020,ODI # 4232
159,India,Australia,India,7 wickets,Bengaluru,19-01-2020,ODI # 4233
160,South Africa,England,South Africa,7 wickets,Cape Town,04-02-2020,ODI # 4234
161,New Zealand,India,New Zealand,4 wickets,Hamilton,05-02-2020,ODI # 4235
162,Nepal,Oman,Oman,18 runs,Kirtipur,05-02-2020,ODI # 4236
163,Oman,U.S.A.,Oman,6 wickets,Kirtipur,06-02-2020,ODI # 4237
164,South Africa,England,no result,-,Durban,07-02-2020,ODI # 4238
165,New Zealand,India,New Zealand,22 runs,Auckland,08-02-2020,ODI # 4239
166,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,08-02-2020,ODI # 4240
167,Nepal,Oman,Oman,8 wickets,Kirtipur,09-02-2020,ODI # 4241
168,South Africa,England,England,2 wickets,Johannesburg,09-02-2020,ODI # 4242
169,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,11-02-2020,ODI # 4243
170,Oman,U.S.A.,Oman,92 runs,Kirtipur,11-02-2020,ODI # 4244
171,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,12-02-2020,ODI # 4245
172,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),22-02-2020,ODI # 4246
173,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,26-02-2020,ODI # 4247
174,South Africa,Australia,South Africa,74 runs,Paarl,29-02-2020,ODI # 4248
175,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,01-03-2020,ODI # 4249
176,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,01-03-2020,ODI # 4250
177,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,03-03-2020,ODI # 4251
178,South Africa,Australia,South Africa,6 wickets,Bloemfontein,04-03-2020,ODI # 4252
179,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,06-03-2020,ODI # 4253
180,South Africa,Australia,South Africa,6 wickets,Potchefstroom,07-03-2020,ODI # 4254
181,Australia,New Zealand,Australia,71 runs,Sydney,13-03-2020,ODI # 4255
182,England,Ireland,England,6 wickets,Southampton,30-07-2020,ODI # 4256
183,England,Ireland,England,4 wickets,Southampton,01-08-2020,ODI # 4257
184,England,Ireland,Ireland,7 wickets,Southampton,04-08-2020,ODI # 4258
185,England,Australia,Australia,19 runs,Manchester,11-09-2020,ODI # 4259
186,England,Australia,England,24 runs,Manchester,13-09-2020,ODI # 4260
187,England,Australia,Australia,3 wickets,Manchester,16-09-2020,ODI # 4261
188,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,30-10-2020,ODI # 4262
189,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,01-11-2020,ODI # 4263
190,Pakistan,Zimbabwe,tied,-,Rawalpindi,03-11-2020,ODI # 4264
191,Australia,India,Australia,66 runs,Sydney,27-11-2020,ODI # 4265
192,Australia,India,Australia,51 runs,Sydney,29-11-2020,ODI # 4266
193,Australia,India,India,13 runs,Canberra,02-12-2020,ODI # 4267
194,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,08-01-2021,ODI # 4268
195,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,18-01-2021,ODI # 4269
196,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,20-01-2021,ODI # 4270
197,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,21-01-2021,ODI # 4271
198,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,22-01-2021,ODI # 4272
199,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,24-01-2021,ODI # 4273
200,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,25-01-2021,ODI # 4274
201,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,26-01-2021,ODI # 4275
202,West Indies,Sri Lanka,West Indies,8 wickets,North Sound,10-03-2021,ODI # 4276
203,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,12-03-2021,ODI # 4277
204,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,14-03-2021,ODI # 4278
205,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,20-03-2021,ODI # 4279
206,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,23-03-2021,ODI # 4280
207,India,England,India,66 runs,Pune,23-03-2021,ODI # 4281
208,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,26-03-2021,ODI # 4282
209,India,England,England,6 wickets,Pune,26-03-2021,ODI # 4283
210,India,England,India,7 runs,Pune,28-03-2021,ODI # 4284
211,South Africa,Pakistan,Pakistan,3 wickets,Centurion,02-04-2021,ODI # 4285
212,South Africa,Pakistan,South Africa,17 runs,Johannesburg,04-04-2021,ODI # 4286
213,South Africa,Pakistan,Pakistan,28 runs,Centurion,07-04-2021,ODI # 4287
214,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,19-05-2021,ODI # 4288
215,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,20-05-2021,ODI # 4289
216,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,23-05-2021,ODI # 4290
217,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,25-05-2021,ODI # 4291
218,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,28-05-2021,ODI # 4292
219,Netherlands,Ireland,Netherlands,1 run,Utrecht,02-06-2021,ODI # 4293
220,Netherlands,Ireland,Ireland,8 wickets,Utrecht,04-06-2021,ODI # 4294
221,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,07-06-2021,ODI # 4295
222,England,Sri Lanka,England,5 wickets,Chester-le-Street,29-06-2021,ODI # 4296
223,England,Sri Lanka,England,8 wickets,The Oval,01-07-2021,ODI # 4297
224,England,Sri Lanka,no result,-,Bristol,04-07-2021,ODI # 4298
225,England,Pakistan,England,9 wickets,Cardiff,08-07-2021,ODI # 4299
226,England,Pakistan,England,52 runs,Lord's,10-07-2021,ODI # 4300
227,Ireland,South Africa,no result,-,Dublin (Malahide),11-07-2021,ODI # 4301
228,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),13-07-2021,ODI # 4302
229,England,Pakistan,England,3 wickets,Birmingham,13-07-2021,ODI # 4303
230,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,16-07-2021,ODI # 4304
231,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),16-07-2021,ODI # 4305
232,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,18-07-2021,ODI # 4306
233,Sri Lanka,India,India,7 wickets,Colombo (RPS),18-07-2021,ODI # 4307
234,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,20-07-2021,ODI # 4308
235,Sri Lanka,India,India,3 wickets,Colombo (RPS),20-07-2021,ODI # 4309
236,West Indies,Australia,Australia,133 runs,Bridgetown,20-07-2021,ODI # 4310
237,West Indies,Australia,West Indies,4 wickets,Bridgetown,24-07-2021,ODI # 4311
238,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),23-07-2021,ODI # 4312
239,West Indies,Australia,Australia,6 wickets,Bridgetown,26-07-2021,ODI # 4313
240,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),02-09-2021,ODI # 4314
241,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),04-09-2021,ODI # 4315
242,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,06-09-2021,ODI # 4316
243,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,07-09-2021,ODI # 4317
244,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),07-09-2021,ODI # 4318
245,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,08-09-2021,ODI # 4319
246,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,09-09-2021,ODI # 4320
247,Ireland,Zimbabwe,no result,-,Belfast,10-09-2021,ODI # 4321
248,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,10-09-2021,ODI # 4322
249,Ireland,Zimbabwe,Ireland,7 wickets,Belfast,13-09-2021,ODI # 4323
250,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,13-09-2021,ODI # 4324
251,Oman,Nepal,Oman,5 wickets,Al Amerat,14-09-2021,ODI # 4325
252,Oman,U.S.A.,Oman,4 wickets,Al Amerat,16-09-2021,ODI # 4326
253,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,17-09-2021,ODI # 4327
254,Oman,Nepal,Nepal,7 wickets,Al Amerat,19-09-2021,ODI # 4328
255,Oman,U.S.A.,Oman,72 runs,Al Amerat,20-09-2021,ODI # 4329
256,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,25-09-2021,ODI # 4330
257,Oman,P.N.G.,Oman,110 runs,Al Amerat,26-09-2021,ODI # 4331
258,Oman,Scotland,Scotland,18 runs,Al Amerat,28-09-2021,ODI # 4332
259,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,29-09-2021,ODI # 4333
260,Oman,P.N.G.,Oman,3 wickets,Al Amerat,01-10-2021,ODI # 4334
261,Oman,Scotland,no result,-,Al Amerat,02-10-2021,ODI # 4335
262,Namibia,Oman,Namibia,40 runs,Windhoek,26-11-2021,ODI # 4336
